,Features,Score
0,H_OVA,22.59434802426526
55,A_OVA,20.580832790387404
1,H_POT,19.00495828827046
57,A_BOV,18.42598710036612
56,A_POT,17.065921528089753
101,A_BaseStats,16.344949791925025
2,H_BOV,15.268275349045936
75,A_Reactions,15.154422714580804
20,H_Reactions,14.963808306018091
70,A_BallControl,14.722029169253783
107,A_Dri,14.645992616768222
65,A_totalSKILL,14.151467293598252
106,A_Pas,13.544162822160661
46,H_BaseStats,12.748373892543288
90,A_DEFENDING,12.48793384190627
100,A_TotalStats,12.2406335775132
83,A_TotalMentary,12.096479188219334
71,A_TotalMovement,11.3705438231219
59,A_ATTACKING,10.903962157916203
63,A_SHORT_PASSING,10.566073492695299
45,H_TotalStats,10.550568638553184
15,H_BallControl,10.529586099224023
35,H_DEFENDING,10.242941502012691
60,A_CROSSING,10.239136978419584
51,H_Pas,10.116501505231874
69,A_LONG_PASSING,9.974848029579109
16,H_TotalMovement,9.91613739541988
8,H_SHORT_PASSING,9.886272388004407
87,A_Vision,9.861293266317672
66,A_DRIBBLING,9.84614401070773
67,A_CURVE,9.797266135770792
28,H_TotalMentary,9.780835585532163
50,H_SHO,9.725655998568053
105,A_SHO,9.32118286651704
78,A_ShotPower,9.03365777458898
52,H_Dri,9.030519299637533
4,H_ATTACKING,8.511963250969341
14,H_LONG_PASSING,8.465069124796184
86,A_Positioning,8.40132408855166
10,H_totalSKILL,8.387692519630285
