season,h_matchId,h_matchDate,h_homeTeamId,h_awayTeamId,h_homeTeamScore,h_awayTeamScore,label,H_OVA,H_POT,H_BOV,H_GROWTH,H_ATTACKING,H_CROSSING,H_FINISHING,H_HEADING_ACCURACY,H_SHORT_PASSING,H_VOLLEYS,H_totalSKILL,H_DRIBBLING,H_CURVE,H_FK_ACCURACY,H_LONG_PASSING,H_BallControl,H_TotalMovement,H_Acceleration,H_SprintSpeed,H_Agility,H_Reactions,H_Balance,H_TotalPower,H_ShotPower,H_Jumping,H_Stamina,H_Strength,H_LongShots,H_TotalMentary,H_Aggression,H_Interceptions,H_Positioning,H_Vision,H_Penalties,H_Composure,H_DEFENDING,H_Marking,H_StandingStackle,H_SlidingTackle,H_GOALKEEPING,H_GKDriving,H_GKHandling,H_GKKicking,H_GKPositioning,H_GKReflexes,H_TotalStats,H_BaseStats,H_AttackingWorkRate,H_DefensiveWorkRate,H_Pac,H_SHO,H_Pas,H_Dri,H_DEF,H_PHY,a_matchId,a_matchDate,a_homeTeamId,a_awayTeamId,A_OVA,A_POT,A_BOV,A_GROWTH,A_ATTACKING,A_CROSSING,A_FINISHING,A_HEADING_ACCURACY,A_SHORT_PASSING,A_VOLLEYS,A_totalSKILL,A_DRIBBLING,A_CURVE,A_FK_ACCURACY,A_LONG_PASSING,A_BallControl,A_TotalMovement,A_Acceleration,A_SprintSpeed,A_Agility,A_Reactions,A_Balance,A_TotalPower,A_ShotPower,A_Jumping,A_Stamina,A_Strength,A_LongShots,A_TotalMentary,A_Aggression,A_Interceptions,A_Positioning,A_Vision,A_Penalties,A_Composure,A_DEFENDING,A_Marking,A_StandingStackle,A_SlidingTackle,A_GOALKEEPING,A_GKDriving,A_GKHandling,A_GKKicking,A_GKPositioning,A_GKReflexes,A_TotalStats,A_BaseStats,A_AttackingWorkRate,A_DefensiveWorkRate,A_Pac,A_SHO,A_Pas,A_Dri,A_DEF,A_PHY
2018/19,38308,2018-08-12,1,11,0,2,-2,80.98862727,84.39772727,79.27272727,3.40908182,311.91287273,64.10606364,57.67423636,59.64015455,73.91668182,56.57575455,321.94318182,67.19318182,61.38636364,54.46210909,67.32954545,71.57197273,356.76514545,70.2462,71.38258182,69.60226364,78.39772727,67.13636364,334.59849091,68.65908182,64.0909,72.74242727,69.13636364,59.9697,316.87879091,64.99242727,61.06059091,64.48863636,70.18560909,56.15151818,56.15151818,75.96210909,54.76137273,57.30680909,57.35985455,393.25,78.4167,82.6667,70.1667,83,79,1890.64015455,419.91666364,2.19697273,2.13636364,74.74620909,66.74620909,71.92803636,74.57196364,59.53409091,72.39014545,38308,2018-08-12,1,11,84.64393636,87.15909091,83.48486364,2.51516364,320.50758182,69.31060909,57.91666364,58.56060909,79.37878182,55.34090909,353.40909091,75.29924545,68.03787273,58.62120909,72.37499091,79.07575455,387.25757273,77.70455455,77.12121818,74.56060909,83.31060909,74.56061818,348.45833636,71.72727273,68.46969091,75,70.12120909,63.14014545,324.26895455,64.18939091,59.57575455,68.45454545,74.42423636,57.62500909,57.62500909,80.18560909,60.15150909,59.74242727,54.83333636,423.9167,84.3333,80,90.9167,81.6667,87,1994.98483636,441.82575455,2.63636364,2.15150909,79.23485455,67.51895455,77.67047273,81.46211818,63.31819091,72.62120909
2018/19,38309,2018-08-11,127,46,2,0,2,76.39989091,78.70346364,75.61742727,2.30356364,291.75324545,60.13203636,56.16126364,56.45345455,69.5579,49.44859091,306.98971818,66.66503636,56.75811818,51.52380909,62.73377273,69.30898182,358.8144,72.30303636,72.02163636,70.12607273,73.49837273,70.86525455,323.50378182,62.94806364,65.87824545,70.23647273,68.07411818,56.36688182,303.15692727,64.21861818,55.40205455,60.3263,65.29112727,57.91883636,57.91883636,72.18939091,53.11146364,56.18181818,51.55952727,386.5,79.4167,79.8333,72,76.5833,78.6667,1829.58387273,406.92423636,2.33333636,2.27272727,74.31710909,63.12824545,68.58062727,73.31872727,58.25271818,69.32684545,38309,2018-08-11,127,46,73.02272727,74.60227273,72.80681818,1.57954545,265.07954545,54.68181818,46.05681818,59.29545455,62.02272727,43.02272727,268.86363636,59.57954545,46.52272727,42.09090909,57.18181818,63.48863636,326.61363636,66.84090909,65.81818182,61.55681818,70.94318182,61.45454545,307.19318182,56.45454545,67.97727273,66.10227273,72.54545455,44.11363636,285.61363636,65.84090909,62.34090909,50.09090909,57.97727273,49.36363636,49.36363636,63.40909091,54.5,59.34090909,56.72727273,355,75.625,66.875,62.125,74.75,75.625,1706.38636364,380.11363636,2.21590909,2.51136364,68.42045455,52.57954545,60.31818182,65.69318182,61.625,71.47727273
2018/19,38310,2018-08-11,34,6,0,2,-2,75.13447273,78.32197273,74.48674545,3.1875,296.43939091,60.26136364,55.10227273,59.94318182,71.07954545,50.05302727,306.96590909,66.09848182,57.13257273,51.04545455,62.53409091,70.1553,349.76136364,68.68560909,68.97727273,69.86742727,72.88257273,69.34848182,332.57197273,63.88636364,71.85795455,70.14772727,69.77840909,56.90151818,304.83143636,67.22348182,57.64393636,59.67802727,65.7178,54.56818182,54.56818182,70.58711818,58.17424545,59.05681818,54.40909091,385.75,75.625,80,76.75,74.75,78.625,1845.86931818,407.51515455,2.27272727,2.21590909,70.48674545,62.96211818,68.51136364,72.20075455,61.51136364,71.8428,38310,2018-08-11,34,6,76.71211818,78.66666364,75.78787273,1.95453636,287.94696364,59.9394,52.4697,60.84849091,67.84848182,46.8409,293.23485455,63.15909091,52.18181818,49.86363636,60.79545455,67.23485455,343.41666364,67.50757273,70.25758182,68.40150909,71.66667273,65.58332727,331.96969091,64.27272727,65.93939091,72.68182727,74.84091818,54.23485455,310.02273636,70.28031818,56.57577273,60.00000909,65.63638182,57.5303,57.5303,69.62120909,56.43181818,57.78788182,56.05302727,377.3333,73.6667,76,81,76,70.6667,1812.07576364,406.18938182,2.5,2.19696364,72.08333636,60.95453636,67.95453636,70.09848182,59.5606,75.53787273
2018/19,38311,2018-08-11,159,4,0,3,-3,74.27274545,77.7197,73.40152727,3.44697273,282.75,57.78788182,48.34848182,60.62121818,67.70454545,48.28788182,289.59848182,59.81060909,52.56818182,46.34849091,64.32576364,66.54545455,334.49241818,67.21212727,66.88637273,64.84849091,69.9697,65.57574545,323.87879091,63.56818182,69.58333636,69.39394545,69.85605455,51.47727273,298.57575455,69.63636364,62.73484545,53.9697,61.55302727,50.68181818,50.68181818,68.15151818,60.86362727,63.21212727,62.25,330.75,70.625,62.75,63.25,65.5,68.625,1796.23485455,394.40908182,2.23485455,2.27272727,69.36742727,56.29545455,65.76516364,67.04925455,64.83333636,71.09848182,38311,2018-08-11,159,4,83.42044545,85.26892727,81.91286364,1.84848182,322.65530909,69.1894,57.91287273,61.85605455,76.75758182,56.93939091,343.56060909,71.13636364,64.90909091,61.27272727,71.37120909,74.87120909,360.6288,71.33334545,71.92424545,70.36363636,81.67425455,65.33333636,349.61362727,71.5303,68.86364545,74.34849091,70.22727273,64.64393636,329.78030909,68,62.88636364,63.93181818,73.32576364,61.63636364,61.63636364,76.80302727,59.81818182,62.37878182,59.34848182,407,84,81,77.5,80,84.5,1970.23863636,436.27650909,2.36363636,2.42424545,76.34090909,68.32197273,76.39394545,78.36363636,62.70453636,74.15152727
2018/19,38312,2018-08-12,10,25,4,0,4,82.95076364,86.76137273,81.95074545,3.81060909,321.63258182,67.49243636,61.12878182,60.83333636,76.875,55.30302727,343.94317273,74.78787273,66.02273636,57.16667273,70.17802727,75.78788182,383.41667273,77.87878182,75.84091818,74.37121818,82.53787273,72.78788182,349.28029091,68.76514545,68.33333636,78.71211818,72.31819091,61.15150909,330.55681818,69.20454545,64.02651818,65.73485455,72.87120909,58.7197,58.7197,78.7803,60.78031818,63.94697273,59.25379091,424.875,83.375,81.5,86.125,85.375,88.5,1996.25378182,445.49620909,2.75757273,2.36363636,79.80682727,68.46212727,75.75757273,80.31060909,65.24621818,75.91288182,38312,2018-08-12,10,25,77.89394545,80.24621818,77.14393636,2.35227273,290.33712727,59.92424545,49.48864545,60.89394545,69.30303636,50.72727273,309.08333636,67.92424545,57.59090909,49.06060909,65.79546364,68.71212727,349.24242727,70.41288182,71.70074545,67.01514545,72.82574545,67.28788182,330.84469091,65.90909091,66.67424545,69.80681818,71.9697,56.48484545,309.86364545,72.34848182,60.70454545,56.4053,65.40530909,55,55,73.1553,59.03030909,63.06818182,61.09849091,396.5,79.25,83,70,80.25,84,1853.79544545,415.27651818,2.48484545,2.15151818,73.92045455,61.04166364,68.53409091,73.73485455,64.16666364,73.87879091
2018/19,38313,2018-08-10,12,26,2,1,1,82.23107273,85.6591,81.09091818,3.42801818,325.82575455,67.54544545,58.3447,63.85605455,76.20076364,59.87878182,350.89014545,72.80681818,67.5,63.30302727,70.65908182,76.62120909,381.81439091,75.82576364,76.3144,77.06818182,80.09090909,72.51514545,353.23106364,70.23863636,74.91667273,75.78408182,69.89015455,62.40151818,333.32953636,70.82197273,62.96969091,64.77272727,72.70454545,62.06060909,62.06060909,77.76515455,58.19696364,60.93939091,56.28788182,442.5833,90,84.9167,86,88.0833,93.5833,2005.38636364,441.89014545,2.36363636,2.31818182,79.0341,68.20455455,75.65908182,80.18180909,63.81817273,74.99241818,38313,2018-08-10,12,26,78.08333636,82.42803636,77.58332727,4.3447,286.87121818,55.83711818,50.41666364,57.68181818,70.29545455,52.64014545,312.12879091,68.96591818,55.18181818,49.91287273,65.94697273,72.12120909,346.67424545,68.50758182,69.64393636,67.99243636,74.35984545,66.17046364,335.71212727,69.66667273,68.65908182,71.39395455,69.22348182,56.76894545,307.57574545,67.48485455,59.4394,60.2841,66.43181818,53.93560909,53.93560909,71.79924545,57.60606364,60.44697273,57.42803636,408,81.8333,77.3333,81.8333,79.3333,87.6667,1851.17046364,410.86363636,2.45454545,2.57576364,71.10606364,61.64394545,68.12120909,75.05681818,62.89772727,72.03788182
2018/19,38314,2018-08-11,23,21,1,2,-1,76.09090909,78.70454545,75.57575455,2.61362727,295.67424545,56.69697273,52.24242727,63.21211818,69.0985,54.42424545,299.61364545,65.29544545,59.87120909,44.81818182,61.26514545,68.36363636,343.36362727,67.60604545,68.33331818,68.18181818,73.15150909,66.0909,335.35605455,64.66666364,72.57575455,72.09849091,70.3485,55.66666364,301.22727273,68.08333636,56.65151818,59.22728182,63.53788182,53.72727273,53.72727273,69.75757273,56.10606364,58.61364545,55.08332727,389.3333,75.3333,79,80,76,79,1833.70455455,403.78029091,2.24242727,2.36363636,70.90908182,61.72728182,66.56060909,71.51515455,60.09849091,72.96969091,38314,2018-08-11,23,21,83.69698182,86.0606,82.63637273,2.36361818,326.75757273,66.44697273,61.38636364,66.58333636,77.15909091,55.18181818,337.5,70.31818182,61.82576364,56.90909091,73.22727273,75.21969091,364.67423636,73.97726364,74.95453636,69.44696364,81.75000909,64.54545455,364.56817273,73.48485455,75.05304545,79.05304545,72.92424545,64.05302727,337.5,73.59090909,65.74241818,65.28030909,68.88635455,64.00000909,64.00000909,78.64395455,63.63635455,64.02271818,62.16667273,414.3333,88,84,68,83,91.3333,2002.94697273,446.06817273,2.61364545,2.59849091,76.68938182,70.61365455,74.14392727,77.82574545,68.34090909,78.45455455
2018/19,38315,2018-08-12,20,43,0,0,0,76.66667273,79.12121818,75.83334545,2.45454545,283.03030909,54.4697,47.40909091,63.7803,69.00757273,48.36363636,303.33712727,63.29545455,54.76136364,53.90909091,64.51515455,66.85606364,326.32576364,66.73862727,65.47347273,61.75757273,72.53787273,59.81818182,327.72347273,67,62.87878182,68.83333636,71.79924545,57.21211818,305.04545455,67.39393636,63.27272727,56.15151818,61.68181818,56.54545455,56.54545455,70.12120909,57.20454545,62.65909091,58.81060909,372.6667,77,75,64,76.3333,80.3333,1811.65151818,399.41287273,2.42424545,2.27272727,67.87499091,59.53788182,65.46211818,69.74999091,64.76515455,72.02272727,38315,2018-08-12,20,43,77.13257273,77.69318182,76.57196364,0.56060909,304.3712,63.93180909,52.74241818,62.30302727,69.88635455,55.50757273,318.74243636,66.96970909,62.73484545,53.9697,65.8788,69.1894,345.61362727,67.68940909,66.84091818,67.5606,75.55303636,67.96969091,346.10605455,68.26515455,76.09848182,73.83332727,72.89394545,55.01514545,318.27271818,70.46212727,64.64394545,59.27273636,67.68180909,56.21211818,56.21211818,73.89392727,63.19697273,62.50756364,59.66666364,378.375,77.5,75.375,68.75,75.75,81,1901.51136364,416.13258182,2.45454545,2.63636364,69,61.93560909,70.05302727,73.13636364,66.61363636,75.39394545
2018/19,38316,2018-08-11,33,131,2,0,2,77.43182727,78.81817273,76.47727273,1.38636364,310.03788182,59.97727273,58.28788182,64.93181818,70.82575455,56.01514545,300.08333636,65.59090909,53.29545455,47,63.84090909,70.35605455,335.25755455,65.05301818,66.40151818,63.25758182,74.42423636,66.12121818,345.57576364,68.1591,71.24242727,72.64395455,73.67424545,59.85606364,314.5606,69.96211818,60.96210909,61.85605455,64.08333636,57.69697273,57.69697273,71.84849091,59.82574545,60.92424545,59.33332727,385.75,77,78.5,73,76.75,80.5,1871.75757273,414.00757273,2.45454545,2.12120909,68.40151818,65.96969091,68.04544545,72.36363636,63.60606364,75.62120909,38316,2018-08-11,33,131,76.13635455,78.25,75.70453636,2.11364545,291.15151818,57.64392727,51.27272727,60.66666364,69.76515455,51.80302727,302.83333636,62.95455455,56.48484545,49.33333636,65.61363636,68.44698182,321.95455455,59.56060909,60.43939091,63.5606,74.63635455,63.75757273,336.55301818,67.60606364,72.1591,69.0909,70.4697,57.22727273,307.87121818,71.33333636,59.58333636,58.06819091,66.29545455,52.59090909,52.59090909,72.80302727,58.64393636,59.5303,56.32576364,396.4167,79.9167,74.3333,82.8333,77.3333,82,1823.8106,397.29546364,2.31818182,2.60606364,62.56060909,61.28030909,68.11362727,70.5909,62.26515455,72.48483636
2018/19,38317,2018-08-11,38,7,2,2,0,77.71590909,80.54545455,76.88636364,2.82954545,291.67045455,59.60227273,51.27272727,59.97727273,69.90909091,50.90909091,306.38636364,62.84090909,58.19318182,51.90909091,65.60227273,67.84090909,334.5,65.06818182,66.10227273,65.27272727,74.375,63.68181818,334.78409091,66.61363636,68.875,72.63636364,72.95454545,53.70454545,313.11363636,72.84090909,60.5,57.60227273,65.30681818,56.86363636,56.86363636,73.55681818,59.14772727,60.35227273,56.53409091,406.5,85,81,79,79.5,82,1842.53409091,406.22727273,2.31818182,2.31818182,68.46590909,61.17045455,69.10227273,69.93181818,63.30681818,74.25,38317,2018-08-11,38,7,79.71969091,81.16287273,78.65151818,1.44318182,318.37879091,64.83332727,58.35984545,66.3409,73.95832727,54.88636364,325.79166364,68.10228182,60.25757273,56.75757273,67.40909091,73.26516364,350.86743636,67.72726364,67.56440909,68.47726364,77.74242727,69.35606364,349.39015455,71.59090909,74.80680909,71.74242727,71.18181818,60.06818182,324.34849091,70.17424545,60.2803,62.59847273,66.80302727,64.49241818,64.49241818,77.10985455,59.05303636,61.88636364,57.27272727,410.3333,80.75,78,87,79.25,85.3333,1942.74621818,421.79544545,2.39393636,2.60606364,70.70455455,66.82196364,72.04166364,75.23863636,63.33333636,73.6553
