id,matchdate,teamId,playerId,firstName,lastName,position,fullPosition,id,date,teamId,Team,PlayerID,name,firstName,lastName,age,OVA,POT,BOV,BP,GROWTH,ATTACHING,CROSSING,FINISHING,HEADING_ACCURACY,SHORT_PASSING,Volleys,TotalSkill,Dribbing,Curve,FkAccuracy,LONG_PASSING,BallControl,TotalMovement,Acceleration,SprintSpeed,Agility,Reactions,Balance,TotalPower,ShotPower,Jumping,Stamina,Strength,LongShots,TotalMentary,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,DEFENDING,Marking,StandingStackle,SlidingTackle,GOALKEEPING,GKDriving,GKHandling,GKKicking,GKPositioning,GKReflexes,TotalStats,BaseStats,AttackingWorkRate,DefensiveWorkRate,Pac,SHO,Pas,Dri,DEF,PHY
4883,2020-12-19,1,14451,Eddie,Nketiah,F,"Centre Striker",2697,2020-12-01,1,Arsenal,14451," E. Nketiah",E.,Nketiah,21,74,84,76,ST,10,322,43,77,67,66,69,284,74,54,38,45,73,395,85,82,79,77,72,334,72,73,68,59,62,275,52,19,78,58,68,68,68,22,19,15,47,12,10,11,9,5,1713,369,High,Medium,83,72,55,74,24,61
4956,2020-12-16,1,14451,Eddie,Nketiah,F,"Centre Striker",2697,2020-12-01,1,Arsenal,14451," E. Nketiah",E.,Nketiah,21,74,84,76,ST,10,322,43,77,67,66,69,284,74,54,38,45,73,395,85,82,79,77,72,334,72,73,68,59,62,275,52,19,78,58,68,68,68,22,19,15,47,12,10,11,9,5,1713,369,High,Medium,83,72,55,74,24,61
7123,2020-09-28,1,4100,David,"Luiz Moreira Marinho",D,"Centre Central Defender",1117,2020-09-01,1,Arsenal,4100," David Luiz",David,Luiz,33,80,80,80,CB,0,343,68,55,80,77,63,369,68,70,72,80,79,318,59,61,66,76,56,376,81,77,68,78,72,365,85,80,54,71,75,75,75,77,81,79,54,11,12,10,7,14,2062,426,Medium,Medium,60,65,74,71,79,77
7124,2020-09-28,1,4474,Héctor,Bellerín,D,"Right Full Back",1116,2020-09-01,1,Arsenal,4474," Héctor Bellerín",Héctor,Bellerín,25,80,85,81,RB,5,305,75,52,60,77,41,326,77,63,50,59,77,404,84,86,78,79,77,292,52,64,75,58,43,345,72,78,67,66,62,62,70,76,78,79,61,8,14,14,13,12,1966,424,High,Low,85,51,70,77,76,65
7506,2020-09-19,1,4474,Héctor,Bellerín,D,"Right Full Back",1116,2020-09-01,1,Arsenal,4474," Héctor Bellerín",Héctor,Bellerín,25,80,85,81,RB,5,305,75,52,60,77,41,326,77,63,50,59,77,404,84,86,78,79,77,292,52,64,75,58,43,345,72,78,67,66,62,62,70,76,78,79,61,8,14,14,13,12,1966,424,High,Low,85,51,70,77,76,65
7630,2020-09-12,1,4474,Héctor,Bellerín,D,"Right Full Back",1116,2020-09-01,1,Arsenal,4474," Héctor Bellerín",Héctor,Bellerín,25,80,85,81,RB,5,305,75,52,60,77,41,326,77,63,50,59,77,404,84,86,78,79,77,292,52,64,75,58,43,345,72,78,67,66,62,62,70,76,78,79,61,8,14,14,13,12,1966,424,High,Low,85,51,70,77,76,65
638,2021-04-23,1,4985,Bernd,Leno,G,Goalkeeper,5202,2021-04-01,1,Arsenal,4985," B. Leno",B.,Leno,28,84,85,84,GK,1,91,9,9,13,50,10,116,16,9,8,48,35,288,55,56,52,81,44,259,59,73,43,70,14,139,28,25,7,56,23,23,66,27,15,18,414,85,81,78,84,86,1367,470,Medium,Medium,85,81,78,86,56,84
1004,2021-04-11,1,4985,Bernd,Leno,G,Goalkeeper,5202,2021-04-01,1,Arsenal,4985," B. Leno",B.,Leno,28,84,85,84,GK,1,91,9,9,13,50,10,116,16,9,8,48,35,288,55,56,52,81,44,259,59,73,43,70,14,139,28,25,7,56,23,23,66,27,15,18,414,85,81,78,84,86,1367,470,Medium,Medium,85,81,78,86,56,84
1307,2021-04-03,1,4985,Bernd,Leno,G,Goalkeeper,5202,2021-04-01,1,Arsenal,4985," B. Leno",B.,Leno,28,84,85,84,GK,1,91,9,9,13,50,10,116,16,9,8,48,35,288,55,56,52,81,44,259,59,73,43,70,14,139,28,25,7,56,23,23,66,27,15,18,414,85,81,78,84,86,1367,470,Medium,Medium,85,81,78,86,56,84
1333,2021-03-21,1,4100,David,"Luiz Moreira Marinho",D,"Centre Central Defender",4893,2021-03-01,1,Arsenal,4100," David Luiz",David,Luiz,33,79,79,79,CB,0,343,68,55,80,77,63,369,68,70,72,80,79,317,59,61,66,75,56,375,81,76,68,78,72,362,84,78,54,71,75,75,75,76,81,78,54,11,12,10,7,14,2055,426,Medium,Medium,60,65,74,71,79,77
1336,2021-03-21,1,20097,Pablo,Marí,D,"Centre Central Defender",4875,2021-03-01,1,Arsenal,20097," Pablo Marí",Pablo,Marí,26,76,79,78,CB,3,251,32,38,82,71,28,226,41,27,30,65,63,271,56,53,49,76,37,326,53,75,72,86,40,256,80,74,34,37,31,31,76,76,77,73,52,6,14,7,13,12,1608,352,Medium,Medium,54,40,51,50,76,81
1337,2021-03-21,1,6899,Alexandre,Lacazette,F,"Centre Striker",4528,2021-03-01,1,Arsenal,6899," A. Lacazette",A.,Lacazette,29,82,82,82,ST,0,384,68,83,75,79,79,384,84,74,74,70,82,397,77,75,81,82,82,383,87,76,67,75,78,348,73,42,82,75,76,76,80,39,45,32,37,11,6,9,5,6,2049,432,High,High,76,82,74,83,44,73
1475,2021-03-14,1,6899,Alexandre,Lacazette,F,"Centre Striker",4528,2021-03-01,1,Arsenal,6899," A. Lacazette",A.,Lacazette,29,82,82,82,ST,0,384,68,83,75,79,79,384,84,74,74,70,82,397,77,75,81,82,82,383,87,76,67,75,78,348,73,42,82,75,76,76,80,39,45,32,37,11,6,9,5,6,2049,432,High,High,76,82,74,83,44,73
