id,date,teamId,Team,PlayerID,name,firstName,lastName,age,OVA,POT,BOV,BP,GROWTH,ATTACHING,CROSSING,FINISHING,HEADING_ACCURACY,SHORT_PASSING,Volleys,TotalSkill,Dribbing,Curve,FkAccuracy,LONG_PASSING,BallControl,TotalMovement,Acceleration,SprintSpeed,Agility,Reactions,Balance,TotalPower,ShotPower,Jumping,Stamina,Strength,LongShots,TotalMentary,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,DEFENDING,Marking,StandingStackle,SlidingTackle,GOALKEEPING,GKDriving,GKHandling,GKKicking,GKPositioning,GKReflexes,TotalStats,BaseStats,AttackingWorkRate,DefensiveWorkRate,Pac,SHO,Pas,Dri,DEF,PHY
0,2017-07-01,NULL,"Hull City",NULL," C. Davies",C.,Davies,31,77,77,76,CB,0,230,25,35,78,59,33,214,43,26,25,55,65,329,68,68,62,75,56,320,49,80,73,84,34,278,68,79,42,56,33,33,71,77,79,77,51,7,9,10,15,10,1655,364,Medium,Medium,68,38,48,54,78,78
1,2017-07-01,45,Swansea,4810," L. Fer",L.,Fer,26,77,78,76,CM,1,364,68,71,80,79,66,322,78,49,44,76,75,347,74,76,73,73,51,418,85,90,92,73,78,370,80,70,75,73,72,72,72,66,70,69,61,9,8,14,16,14,2087,447,Medium,Low,75,75,72,75,70,80
2,2017-07-01,45,Swansea,NULL," Jordi Amat",Jordi,Amat,24,77,83,76,CB,6,235,31,34,74,68,28,243,50,40,36,52,65,322,63,72,59,70,58,365,75,78,68,79,65,270,82,71,30,59,28,28,63,78,77,80,46,9,6,7,16,8,1716,379,Low,Medium,68,48,53,57,76,77
3,2017-07-01,45,Swansea,2152," L. Britton",L.,Britton,33,77,77,76,CM,0,293,65,55,41,85,47,355,76,61,58,79,81,352,52,54,77,78,91,297,51,70,70,58,48,346,77,73,55,82,59,59,86,70,75,69,55,10,16,7,7,15,1912,395,Low,Medium,53,53,77,78,69,65
4,2017-07-01,4,Chelsea,NULL," C. Musonda",C.,Musonda,19,76,86,76,LM,10,301,71,66,39,73,52,349,83,64,52,70,80,423,89,87,92,72,83,283,69,44,62,46,62,240,32,21,66,67,54,54,42,21,20,22,36,6,6,7,8,9,1695,374,High,Medium,88,65,69,82,23,47
5,2017-07-01,7,Everton,NULL," Joel Robles",Joel,Robles,26,76,80,75,GK,4,63,12,11,12,15,13,97,15,11,20,26,25,256,49,52,47,67,41,213,36,64,30,72,11,114,23,22,16,38,15,15,37,15,11,14,380,78,75,75,75,77,1163,431,Medium,Medium,78,75,75,77,51,75
6,2017-07-01,7,Everton,NULL," M. Stekelenburg",M.,Stekelenburg,33,76,76,75,GK,0,93,18,11,14,39,11,106,12,13,13,37,31,215,35,45,35,73,27,186,13,55,30,77,11,144,41,26,13,41,23,23,63,18,15,14,382,78,73,81,74,76,1173,423,Medium,Medium,78,73,81,76,41,74
7,2017-07-01,7,Everton,NULL," E. Valencia",E.,Valencia,26,76,77,75,ST,1,348,70,75,74,68,61,346,75,71,65,63,72,393,86,85,76,72,74,401,84,90,85,68,74,297,50,42,73,62,70,70,75,37,40,42,54,9,12,16,9,8,1958,414,High,Medium,85,76,66,74,43,70
8,2017-07-01,7,Everton,NULL," M. Bešić",M.,Bešić,23,76,84,76,CB,8,279,45,51,67,75,41,327,71,52,57,69,78,368,68,75,78,72,75,328,55,82,69,74,48,320,84,77,46,65,48,48,76,74,77,81,53,14,7,13,7,12,1907,411,Medium,High,72,50,64,74,76,75
9,2017-07-01,10,Liverpool,7219," Alberto Moreno",Alberto,Moreno,23,76,79,76,LM,3,314,79,65,61,74,35,321,77,59,40,64,81,419,89,89,86,68,87,387,80,85,85,63,74,336,83,68,73,58,54,54,57,62,71,76,54,10,14,9,10,11,2040,445,High,Low,89,68,68,79,67,74
10,2017-07-01,NULL,Middlesbrough,NULL," B. Espinosa",B.,Espinosa,26,76,78,75,CB,2,285,51,39,78,73,44,257,40,51,42,61,63,276,56,60,53,62,45,320,56,75,63,84,42,288,80,74,33,49,52,52,70,77,77,73,59,11,15,12,9,12,1712,365,Medium,High,58,44,59,50,76,78
11,2017-07-01,20,Southampton,4617," J. Ward-Prowse",J.,Ward-Prowse,21,76,84,75,CM,8,330,88,53,57,81,51,394,71,86,79,80,78,363,69,68,74,73,79,352,74,68,76,64,70,339,67,65,61,82,64,64,79,55,65,62,64,12,12,10,15,15,2024,415,Medium,Medium,68,61,83,74,61,68
12,2017-07-01,20,Southampton,4573," A. McCarthy",A.,McCarthy,26,76,78,75,GK,2,89,11,17,16,33,12,102,17,15,18,35,17,261,58,56,35,69,43,200,20,68,35,63,14,164,35,22,16,50,41,41,63,13,13,12,367,78,73,61,74,81,1221,424,Medium,Medium,78,73,61,81,57,74
13,2017-07-01,20,Southampton,3206," S. Long",S.,Long,29,76,76,75,ST,0,350,70,73,75,62,70,288,73,54,37,49,75,392,84,84,74,77,73,399,76,93,84,79,67,340,80,42,77,63,78,78,70,36,27,24,55,11,13,10,11,10,1911,409,High,High,84,73,60,74,37,81
