id,season,matchId,matchDate,homeTeamId,homeTeamName,awayTeamID,awayTeamName,homeTeamScore,awayTeamScore
0,2017/18,22712,2018-05-13,43,Burnley,127,AFC Bournemouth,1,2
1,2017/18,22713,2018-05-13,6,Crystal Palace,36,West Brom,2,0
2,2017/18,22714,2018-05-13,159,Huddersfield,1,Arsenal,0,1
3,2017/18,22715,2018-05-13,10,Liverpool,131,Brighton,4,0
4,2017/18,22716,2018-05-13,12,Man Utd,33,Watford,1,0
5,2017/18,22717,2018-05-13,23,Newcastle,4,Chelsea,3,0
6,2017/18,22718,2018-05-13,20,Southampton,11,Man City,0,1
7,2017/18,22719,2018-05-13,45,Swansea,42,Stoke,1,2
8,2017/18,22720,2018-05-13,21,Spurs,26,Leicester,5,4
9,2017/18,22721,2018-05-13,25,West Ham,7,Everton,3,1
10,2017/18,22651,2018-05-10,25,West Ham,12,Man Utd,0,0
11,2017/18,22685,2018-05-09,4,Chelsea,159,Huddersfield,1,1
12,2017/18,22645,2018-05-09,26,Leicester,1,Arsenal,3,1
13,2017/18,22647,2018-05-09,11,Man City,131,Brighton,3,1
14,2017/18,22650,2018-05-09,21,Spurs,23,Newcastle,1,0
15,2017/18,22649,2018-05-08,45,Swansea,20,Southampton,0,1
16,2017/18,22708,2018-05-06,11,Man City,159,Huddersfield,0,0
17,2017/18,22702,2018-05-06,1,Arsenal,43,Burnley,5,0
18,2017/18,22705,2018-05-06,4,Chelsea,10,Liverpool,1,0
19,2017/18,22709,2018-05-05,42,Stoke,6,Crystal Palace,1,2
20,2017/18,22703,2018-05-05,127,AFC Bournemouth,45,Swansea,1,0
21,2017/18,22707,2018-05-05,26,Leicester,25,West Ham,0,2
22,2017/18,22710,2018-05-05,33,Watford,23,Newcastle,2,1
23,2017/18,22711,2018-05-05,36,West Brom,21,Spurs,1,0
24,2017/18,22706,2018-05-05,7,Everton,20,Southampton,1,1
25,2017/18,22704,2018-05-04,131,Brighton,12,Man Utd,1,0
26,2017/18,22700,2018-04-30,21,Spurs,33,Watford,2,0
27,2017/18,22701,2018-04-29,25,West Ham,11,Man City,1,4
28,2017/18,22696,2018-04-29,12,Man Utd,1,Arsenal,2,1
29,2017/18,22695,2018-04-28,10,Liverpool,42,Stoke,0,0
30,2017/18,22692,2018-04-28,43,Burnley,131,Brighton,0,0
31,2017/18,22693,2018-04-28,6,Crystal Palace,26,Leicester,5,0
32,2017/18,22694,2018-04-28,159,Huddersfield,7,Everton,0,2
33,2017/18,22697,2018-04-28,23,Newcastle,36,West Brom,0,1
34,2017/18,22698,2018-04-28,20,Southampton,127,AFC Bournemouth,2,1
35,2017/18,22699,2018-04-28,45,Swansea,4,Chelsea,0,1
36,2017/18,22686,2018-04-23,7,Everton,23,Newcastle,1,0
37,2017/18,22682,2018-04-22,1,Arsenal,25,West Ham,4,1
38,2017/18,22689,2018-04-22,42,Stoke,43,Burnley,1,1
39,2017/18,22688,2018-04-22,11,Man City,45,Swansea,5,0
40,2017/18,22691,2018-04-21,36,West Brom,10,Liverpool,2,2
41,2017/18,22690,2018-04-21,33,Watford,6,Crystal Palace,0,0
42,2017/18,22643,2018-04-19,43,Burnley,4,Chelsea,1,2
43,2017/18,22687,2018-04-19,26,Leicester,20,Southampton,0,0
44,2017/18,22683,2018-04-18,127,AFC Bournemouth,12,Man Utd,0,2
45,2017/18,22684,2018-04-17,131,Brighton,21,Spurs,1,1
46,2017/18,22681,2018-04-16,25,West Ham,42,Stoke,1,1
47,2017/18,22677,2018-04-15,23,Newcastle,1,Arsenal,2,1
48,2017/18,22676,2018-04-15,12,Man Utd,36,West Brom,0,1
49,2017/18,22678,2018-04-14,20,Southampton,4,Chelsea,2,3
50,2017/18,22672,2018-04-14,43,Burnley,26,Leicester,2,1
51,2017/18,22673,2018-04-14,6,Crystal Palace,131,Brighton,3,2
52,2017/18,22674,2018-04-14,159,Huddersfield,33,Watford,1,0
53,2017/18,22679,2018-04-14,45,Swansea,7,Everton,1,1
54,2017/18,22675,2018-04-14,10,Liverpool,127,AFC Bournemouth,3,0
55,2017/18,22680,2018-04-14,21,Spurs,11,Man City,1,3
56,2017/18,22662,2018-04-08,1,Arsenal,20,Southampton,3,2
57,2017/18,22665,2018-04-08,4,Chelsea,25,West Ham,1,1
58,2017/18,22666,2018-04-07,7,Everton,10,Liverpool,0,0
59,2017/18,22663,2018-04-07,127,AFC Bournemouth,6,Crystal Palace,2,2
60,2017/18,22664,2018-04-07,131,Brighton,159,Huddersfield,1,1
61,2017/18,22667,2018-04-07,26,Leicester,23,Newcastle,1,2
62,2017/18,22669,2018-04-07,42,Stoke,21,Spurs,1,2
63,2017/18,22670,2018-04-07,33,Watford,43,Burnley,1,2
64,2017/18,22671,2018-04-07,36,West Brom,45,Swansea,1,1
65,2017/18,22668,2018-04-07,11,Man City,12,Man Utd,2,3
66,2017/18,22652,2018-04-01,1,Arsenal,42,Stoke,3,0
67,2017/18,22654,2018-04-01,4,Chelsea,21,Spurs,1,3
68,2017/18,22655,2018-03-31,6,Crystal Palace,10,Liverpool,1,2
69,2017/18,22653,2018-03-31,131,Brighton,26,Leicester,0,2
70,2017/18,22657,2018-03-31,12,Man Utd,45,Swansea,2,0
71,2017/18,22658,2018-03-31,23,Newcastle,159,Huddersfield,1,0
72,2017/18,22660,2018-03-31,33,Watford,127,AFC Bournemouth,2,2
73,2017/18,22661,2018-03-31,36,West Brom,43,Burnley,1,2
74,2017/18,22361,2018-03-31,25,West Ham,20,Southampton,3,0
75,2017/18,22656,2018-03-31,7,Everton,11,Man City,1,3
76,2017/18,22642,2018-03-17,127,AFC Bournemouth,36,West Brom,2,1
77,2017/18,22644,2018-03-17,159,Huddersfield,6,Crystal Palace,0,2
78,2017/18,22648,2018-03-17,42,Stoke,7,Everton,1,2
79,2017/18,22646,2018-03-17,10,Liverpool,33,Watford,5,0
80,2017/18,22639,2018-03-12,42,Stoke,11,Man City,0,2
81,2017/18,22632,2018-03-11,1,Arsenal,33,Watford,3,0
82,2017/18,22633,2018-03-11,127,AFC Bournemouth,21,Spurs,1,4
83,2017/18,22637,2018-03-10,12,Man Utd,10,Liverpool,2,1
84,2017/18,22635,2018-03-10,7,Everton,131,Brighton,2,0
85,2017/18,22636,2018-03-10,159,Huddersfield,45,Swansea,0,0
86,2017/18,22638,2018-03-10,23,Newcastle,20,Southampton,3,0
87,2017/18,22640,2018-03-10,36,West Brom,26,Leicester,1,4
88,2017/18,22641,2018-03-10,25,West Ham,43,Burnley,0,3
89,2017/18,22634,2018-03-10,4,Chelsea,6,Crystal Palace,2,1
90,2017/18,22624,2018-03-05,6,Crystal Palace,12,Man Utd,2,3
91,2017/18,22622,2018-03-04,131,Brighton,1,Arsenal,2,1
92,2017/18,22627,2018-03-04,11,Man City,4,Chelsea,1,0
93,2017/18,22623,2018-03-03,43,Burnley,7,Everton,2,1
94,2017/18,22625,2018-03-03,26,Leicester,127,AFC Bournemouth,1,1
95,2017/18,22628,2018-03-03,20,Southampton,42,Stoke,0,0
96,2017/18,22629,2018-03-03,45,Swansea,25,West Ham,4,1
97,2017/18,22630,2018-03-03,21,Spurs,159,Huddersfield,2,0
98,2017/18,22631,2018-03-03,33,Watford,36,West Brom,1,0
99,2017/18,22626,2018-03-03,10,Liverpool,23,Newcastle,2,0
100,2017/18,22612,2018-03-01,1,Arsenal,11,Man City,0,3
101,2017/18,22616,2018-02-25,6,Crystal Palace,21,Spurs,0,1
102,2017/18,22619,2018-02-25,12,Man Utd,4,Chelsea,2,1
103,2017/18,22617,2018-02-24,26,Leicester,42,Stoke,1,1
104,2017/18,22613,2018-02-24,127,AFC Bournemouth,23,Newcastle,2,2
105,2017/18,22614,2018-02-24,131,Brighton,45,Swansea,4,1
