id,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
0,2019-05-12,131,50245,Yves,Bissouma,M,Centre Central Midfielder
1,2019-05-12,131,8163,Lewis,Dunk,D,Centre Central Defender
2,2019-05-12,131,8162,Bruno,Saltor Grau,D,Right Full Back
3,2019-05-12,131,23591,Bernardo,Fernandes da Silva Junior,D,Left Full Back
4,2019-05-12,131,22542,Pascal,Groß,M,Centre Central Midfielder
5,2019-05-12,131,4772,Glenn,Murray,F,Centre Striker
6,2019-05-12,131,15480,Alireza,Jahanbakhsh,F,Right Winger
7,2019-05-12,131,12192,Mat,Ryan,G,Goalkeeper
8,2019-05-12,131,5156,Beram,Kayal,M,Centre Central Midfielder
9,2019-05-12,131,8982,Anthony,Knockaert,M,Left/Right Attacking Midfielder
10,2019-05-12,131,3601,Shane,Duffy,D,Left/Centre Central Defender
11,2019-05-12,11,12707,Ederson,Santana de Moraes,G,Goalkeeper
12,2019-05-12,11,4328,Sergio,Agüero,F,Centre Striker
13,2019-05-12,11,4316,Raheem,Sterling,F,Left/Centre/Right Second Striker
14,2019-05-12,11,5067,Bernardo Mota,Veiga de Carvalho e Silva,M,Left/Centre Attacking Midfielder
15,2019-05-12,11,8983,Riyad,Mahrez,F,Left/Right Winger
16,2019-05-12,11,4145,David,Silva,M,Left/Centre/Right Attacking Midfielder
17,2019-05-12,11,11044,Aymeric,Laporte,D,Centre Central Defender
18,2019-05-12,11,3955,Kyle,Walker,D,Right Full Back
19,2019-05-12,11,19620,Oleksandr,Zinchenko,D,Left Full Back
20,2019-05-12,11,3653,Vincent,Kompany,D,Centre Central Defender
21,2019-05-12,11,5101,Ilkay,Gündogan,M,Centre Central Midfielder
22,2019-05-12,43,8691,Charlie,Taylor,D,Left Full Back
23,2019-05-12,43,4489,Ashley,Westwood,M,Centre Central Midfielder
24,2019-05-12,43,8586,Jeff,Hendrick,M,Centre Central Midfielder
25,2019-05-12,43,3909,Ben,Mee,D,Left/Centre Central Defender
26,2019-05-12,43,24797,Dwight,McNeil,F,Forward
27,2019-05-12,43,2889,Jack,Cork,M,Centre Central Midfielder
28,2019-05-12,43,4487,Matthew,Lowton,D,Right Full Back
29,2019-05-12,43,8246,Ashley,Barnes,F,Centre Striker
30,2019-05-12,43,2933,Tom,Heaton,G,Goalkeeper
31,2019-05-12,43,8143,James,Tarkowski,D,Centre Central Defender
32,2019-05-12,43,3756,Chris,Wood,F,Centre Striker
33,2019-05-12,1,32638,Konstantinos,Mavropanos,D,Centre Central Defender
34,2019-05-12,1,14446,Joseph,Willock,M,Centre Central Midfielder
35,2019-05-12,1,5102,Henrikh,Mkhitaryan,M,Centre/Right Attacking Midfielder
36,2019-05-12,1,3869,Shkodran,Mustafi,D,Centre/Right Central Defender
37,2019-05-12,1,4985,Bernd,Leno,G,Goalkeeper
38,2019-05-12,1,5110,Pierre-Emerick,Aubameyang,F,Centre Striker
39,2019-05-12,1,5520,Stephan,Lichtsteiner,D,Right Full Back
40,2019-05-12,1,50512,Matteo,Guendouzi,M,Centre Central Midfielder
41,2019-05-12,1,4472,Ignacio,Monreal,D,Left Full Back
42,2019-05-12,1,4717,Alex,Iwobi,M,Left/Centre/Right Attacking Midfielder
43,2019-05-12,1,5239,Mohamed Naser,El Sayed Elneny,M,Centre Defensive Midfielder
44,2019-05-12,6,5859,Luka,Milivojevic,M,Centre Central Midfielder
45,2019-05-12,6,3929,Joel,Ward,D,Right Full Back
46,2019-05-12,6,4539,Wilfried,Zaha,F,Left/Centre/Right Winger
47,2019-05-12,6,3644,Martin,Kelly,D,Right Full Back
48,2019-05-12,6,4224,James,McArthur,M,Centre Central Midfielder
49,2019-05-12,6,14164,Aaron,Wan-Bissaka,D,Right Full Back
50,2019-05-12,6,7450,Michy,Batshuayi,F,Centre Striker
51,2019-05-12,6,3362,Patrick,van Aanholt,D,Left Full Back
52,2019-05-12,6,3724,Andros,Townsend,M,Left/Right Winger
53,2019-05-12,6,7548,Vicente,Guaita,G,Goalkeeper
54,2019-05-12,6,5377,Max,Meyer,M,Left/Centre/Right Attacking Midfielder
55,2019-05-12,127,4604,Nathaniel,Clyne,D,Right Full Back
56,2019-05-12,127,8052,Ryan,Fraser,M,Left/Right Winger
57,2019-05-12,127,37776,Jefferson,Lerma,M,Centre Central Midfielder
58,2019-05-12,127,4499,Nathan,Aké,D,Left/Centre Central Defender
59,2019-05-12,127,3926,Joshua,King,F,Centre/Right Second Striker
60,2019-05-12,127,50453,Mark,Travers,G,Goalkeeper
61,2019-05-12,127,8045,Steve,Cook,D,Left/Centre/Right Central Defender
62,2019-05-12,127,13193,Jack,Simpson,D,Centre Central Defender
63,2019-05-12,127,3512,Adam,Smith,D,Right Full Back
64,2019-05-12,127,8454,Callum,Wilson,F,Centre Striker
65,2019-05-12,127,4527,Jordon,Ibe,M,Left/Right Winger
66,2019-05-12,34,9960,Alfie,Mawson,D,Centre Central Defender
67,2019-05-12,34,8438,Cyrus,Christie,D,Right Full Back
68,2019-05-12,34,3894,Tom,Cairney,M,Left/Centre/Right Attacking Midfielder
69,2019-05-12,34,19606,Floyd,Ayité,F,Centre/Right Second Striker
70,2019-05-12,34,32162,André-Frank,Zambo Anguissa,M,Centre Central Midfielder
71,2019-05-12,34,20503,Maxime,Le Marchand,D,Centre Central Defender
72,2019-05-12,34,7213,Sergio,Rico,G,Goalkeeper
73,2019-05-12,34,8185,Joe,Bryan,D,Left Full Back
74,2019-05-12,34,14656,Kouassi Ryan,Sessegnon,M,Left Winger
75,2019-05-12,34,5879,Aleksandar,Mitrovic,F,Centre Striker
76,2019-05-12,34,4620,Calum,Chambers,D,Centre Central Defender
77,2019-05-12,23,9257,Jamaal,Lascelles,D,Centre Central Defender
78,2019-05-12,23,4859,Christian,Atsu,M,Left/Right Winger
79,2019-05-12,23,3982,Mohamed,Diamé,M,Centre Attacking Midfielder
80,2019-05-12,23,6451,Martin,Dubravka,G,Goalkeeper
81,2019-05-12,23,3934,Matt,Ritchie,M,Left/Right Winger
82,2019-05-12,23,10487,Ayoze,Pérez,F,Centre/Right Second Striker
83,2019-05-12,23,4135,Jonjo,Shelvey,M,Centre Central Midfielder
84,2019-05-12,23,4713,Isaac,Hayden,M,Centre Central Midfielder
85,2019-05-12,23,5220,Fabian,Schär,D,Centre Central Defender
86,2019-05-12,23,4340,Paul,Dummett,D,Left Full Back
87,2019-05-12,23,6030,Salomón,Rondón,F,Centre Striker
88,2019-05-12,26,13491,Ben,Chilwell,D,Left Full Back
89,2019-05-12,26,3564,Marc,Albrighton,M,Left/Right Winger
90,2019-05-12,26,20479,Wilfred,Ndidi,M,Centre Central Midfielder
91,2019-05-12,26,8456,James,Maddison,M,Left/Centre/Right Attacking Midfielder
92,2019-05-12,26,8979,Jamie,Vardy,F,Centre Striker
93,2019-05-12,26,5865,Youri,Tielemans,M,Centre Central Midfielder
94,2019-05-12,26,5343,Ricardo Domingos,Barbosa Pereira,D,Right Full Back
95,2019-05-12,26,13248,Hamza,Choudhury,M,Centre Central Midfielder
96,2019-05-12,26,2508,Kasper,Schmeichel,G,Goalkeeper
97,2019-05-12,26,3156,Jonny,Evans,D,Centre Central Defender
