,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
0,2016-05-17,12,4287,Juan,Mata,M,Left/Centre/Right Attacking Midfielder
1,2016-05-17,12,4330,David,de Gea,G,Goalkeeper
2,2016-05-17,12,1634,Michael,Carrick,M,Centre Central Midfielder
3,2016-05-17,12,4337,Jesse,Lingard,M,Left/Centre/Right Attacking Midfielder
4,2016-05-17,12,2064,Wayne,Rooney,F,Centre Second Striker
5,2016-05-17,12,13565,Marcus,Rashford,F,Left/Centre Second Striker
6,2016-05-17,12,11272,Anthony,Martial,F,Left/Centre Second Striker
7,2016-05-17,12,4888,Daley,Blind,D,Left/Centre Central Defender
8,2016-05-17,12,13560,Cameron,Borthwick-Jackson,D,Left Central Defender
9,2016-05-17,12,3613,Chris,Smalling,D,Centre Central Defender
10,2016-05-17,12,3285,Luis Antonio,Valencia,D,Right Full Back
11,2016-05-17,127,8454,Callum,Wilson,F,Centre Striker
12,2016-05-17,127,2338,Andrew,Surman,M,Centre Central Midfielder
13,2016-05-17,127,8045,Steve,Cook,D,Left/Centre/Right Central Defender
14,2016-05-17,127,8044,Simon,Francis,D,Centre/Right Central Defender
15,2016-05-17,127,3926,Joshua,King,F,Centre/Right Second Striker
16,2016-05-17,127,3182,Adam,Federici,G,Goalkeeper
17,2016-05-17,127,8046,Tommy,Elphick,D,Centre Central Defender
18,2016-05-17,127,3934,Matt,Ritchie,M,Left/Right Winger
19,2016-05-17,127,3390,Dan,Gosling,M,Centre/Right Central Midfielder
20,2016-05-17,127,3242,Charlie,Daniels,D,Left Full Back
21,2016-05-17,127,8049,Marc,Pugh,M,Left/Right Winger
22,2016-05-15,1,10423,Gabriel Armando,de Abreu,D,Centre Central Defender
23,2016-05-15,1,4477,Santiago,Cazorla,M,Left/Centre/Right Attacking Midfielder
24,2016-05-15,1,4030,Laurent,Koscielny,D,Centre Central Defender
25,2016-05-15,1,3547,Jack,Wilshere,M,Centre Central Midfielder
26,2016-05-15,1,4481,Olivier,Giroud,F,Centre Striker
27,2016-05-15,1,4474,Héctor,Bellerín,D,Right Full Back
28,2016-05-15,1,4714,Mesut,Özil,M,Centre/Right Attacking Midfielder
29,2016-05-15,1,4472,Ignacio,Monreal,D,Left Full Back
30,2016-05-15,1,2651,Petr,Cech,G,Goalkeeper
31,2016-05-15,1,4973,Alexis,Sánchez,F,Left/Right Second Striker
32,2016-05-15,1,3549,Francis,Coquelin,M,Centre Defensive Midfielder
33,2016-05-15,2,10430,Carlos,Sánchez,M,Centre Central Midfielder
34,2016-05-15,2,4721,Leandro,Bacuna,M,Right Winger
35,2016-05-15,2,13129,Jordan,Lyden,M,Centre Defensive Midfielder
36,2016-05-15,2,13131,Kevin,Toner,M,Centre Central Midfielder
37,2016-05-15,2,12582,Idrissa,Gueye,M,Centre Defensive Midfielder
38,2016-05-15,2,5595,Jordan,Ayew,F,Centre Striker
39,2016-05-15,2,4797,Aly,Cissokho,D,Left Full Back
40,2016-05-15,2,3567,Mark,Bunn,G,Goalkeeper
41,2016-05-15,2,2574,Joleon,Lescott,D,Centre Central Defender
42,2016-05-15,2,2892,Scott,Sinclair,M,Left/Right Winger
43,2016-05-15,2,4489,Ashley,Westwood,M,Centre Central Midfielder
44,2016-05-15,4,2620,Gary,Cahill,D,Centre Central Defender
45,2016-05-15,4,4503,Eden,Hazard,F,Left/Centre/Right Second Striker
46,2016-05-15,4,4972,Pedro,Rodríguez Ledesma,F,Left/Right Winger
47,2016-05-15,4,3360,Branislav,Ivanovic,D,Centre/Right Central Defender
48,2016-05-15,4,4496,César,Azpilicueta,D,Left/Right Full Back
49,2016-05-15,4,10394,Bertrand,Traoré,M,Left Winger
50,2016-05-15,4,13279,Abdul Rahman,Baba,D,Left Full Back
51,2016-05-15,4,2417,Cesc,Fàbregas,M,Centre Central Midfielder
52,2016-05-15,4,4911,Thibaut,Courtois,G,Goalkeeper
53,2016-05-15,4,4748,Willian,Borges Da Silva,F,Left/Centre/Right Winger
54,2016-05-15,4,3861,Nemanja,Matic,M,Centre Central Midfielder
55,2016-05-15,26,7946,Demarai,Gray,M,Left/Right Winger
56,2016-05-15,26,3157,Danny,Simpson,D,Right Full Back
57,2016-05-15,26,8979,Jamie,Vardy,F,Centre Striker
58,2016-05-15,26,5371,Christian,Fuchs,D,Left Full Back
59,2016-05-15,26,8983,Riyad,Mahrez,M,Left/Right Winger
60,2016-05-15,26,13492,N'Golo,Kanté,M,Centre Central Midfielder
61,2016-05-15,26,2508,Kasper,Schmeichel,G,Goalkeeper
62,2016-05-15,26,8966,Wes,Morgan,D,Centre Central Defender
63,2016-05-15,26,8970,Marcin,Wasilewski,D,Centre/Right Central Defender
64,2016-05-15,26,3670,Danny,Drinkwater,M,Centre Central Midfielder
65,2016-05-15,26,8976,Andy,King,M,Centre Central Midfielder
66,2016-05-15,7,3030,Leighton,Baines,D,Left Full Back
67,2016-05-15,7,1308,Gareth,Barry,M,Centre Central Midfielder
68,2016-05-15,7,4505,John,Stones,D,Right Full Back
69,2016-05-15,7,3979,James,McCarthy,M,Centre Central Midfielder
70,2016-05-15,7,4507,Kevin,Mirallas,M,Left/Right Winger
71,2016-05-15,7,4290,Romelu,Lukaku,F,Centre Striker
72,2016-05-15,7,9895,Matthew,Pennington,D,Centre/Right Central Defender
73,2016-05-15,7,2516,Tim,Howard,G,Goalkeeper
74,2016-05-15,7,3222,Phil,Jagielka,D,Centre Central Defender
75,2016-05-15,7,10455,Kieran,Dowell,M,Midfielder
76,2016-05-15,7,13389,Tom,Davies,M,Centre Central Midfielder
77,2016-05-15,14,3811,Nathan,Redmond,M,Left/Right Winger
78,2016-05-15,14,2867,Martin,Olsson,D,Left Full Back
79,2016-05-15,14,4351,Ryan,Bennett,D,Centre Central Defender
80,2016-05-15,14,3746,Graham,Dorrans,M,Centre Central Midfielder
81,2016-05-15,14,4510,Steven,Naismith,F,Centre/Right Second Striker
82,2016-05-15,14,2896,John,Ruddy,G,Goalkeeper
83,2016-05-15,14,6292,Ivo Daniel,Ferreira Mendonça Pinto,D,Right Full Back
84,2016-05-15,14,2550,Gary,O'Neil,M,Centre/Right Central Midfielder
85,2016-05-15,14,4000,Matthew,Jarvis,M,Left/Right Winger
86,2016-05-15,14,4349,Russell,Martin,D,Centre/Right Central Defender
87,2016-05-15,14,2530,Cameron,Jerome,F,Centre Striker
88,2016-05-15,23,10480,Daryl,Janmaat,D,Right Full Back
89,2016-05-15,23,3713,Jack,Colback,M,Left/Centre Central Midfielder
90,2016-05-15,23,9251,Karl,Darlow,G,Goalkeeper
91,2016-05-15,23,7114,Georginio,Wijnaldum,M,Centre Attacking Midfielder
92,2016-05-15,23,4549,Moussa,Sissoko,M,Left/Centre/Right Attacking Midfielder
93,2016-05-15,23,3724,Andros,Townsend,M,Left/Right Winger
94,2016-05-15,23,4172,Cheick,Tiote,M,Centre Defensive Midfielder
95,2016-05-15,23,5879,Aleksandar,Mitrovic,F,Centre Striker
96,2016-05-15,23,5850,Chancel,Mbemba,D,Centre/Right Central Defender
97,2016-05-15,23,4340,Paul,Dummett,D,Left Full Back
98,2016-05-15,23,2323,Steven,Taylor,D,Centre Central Defender
99,2016-05-15,21,4408,Ben,Davies,D,Left Full Back
100,2016-05-15,21,4999,Heung-Min,Son,F,Left/Centre/Right Winger
101,2016-05-15,21,4666,Jan,Vertonghen,D,Centre Central Defender
102,2016-05-15,21,4842,Erik,Lamela,M,Centre/Right Attacking Midfielder
