,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
0,2021-05-19,7,9576,Dominic,Calvert-Lewin,F,Left/Centre Second Striker
1,2021-05-19,7,10968,Ben,Godfrey,D,Centre Central Defender
2,2021-05-19,7,24630,Richarlison,de Andrade,F,Left/Centre/Right Second Striker
3,2021-05-19,7,4333,Michael,Keane,D,Centre Central Defender
4,2021-05-19,7,5758,Lucas,Digne,D,Left Full Back
5,2021-05-19,7,32923,Yerry,Mina,D,Centre Central Defender
6,2021-05-19,7,13823,Abdoulaye,Doucouré,M,Centre Central Midfielder
7,2021-05-19,7,3600,Séamus,Coleman,D,Right Full Back
8,2021-05-19,7,15994,Allan,Marques Loureiro,M,Centre/Right Central Midfielder
9,2021-05-19,7,4640,Jordan,Pickford,G,Goalkeeper
10,2021-05-19,7,4421,Gylfi,Sigurdsson,M,Left/Centre/Right Attacking Midfielder
11,2021-05-19,38,15259,Morgan,Gibbs-White,M,Centre Attacking Midfielder
12,2021-05-19,38,11259,João Filipe Iria,Santos Moutinho,M,Centre Central Midfielder
13,2021-05-19,38,66670,Fábio Daniel,Soares Silva,F,Centre Second Striker
14,2021-05-19,38,16204,Willy,Boly,D,Centre Central Defender
15,2021-05-19,38,71432,Rayan,Aït-Nouri,D,Left Full Back
16,2021-05-19,38,4979,Adama,Traoré,F,Right Winger
17,2021-05-19,38,11180,Rúben Diogo,da Silva Neves,M,Centre Central Midfielder
18,2021-05-19,38,13522,Maximilian,Kilman,D,Left Full Back
19,2021-05-19,38,4136,Conor,Coady,D,Centre Central Defender
20,2021-05-19,38,16642,Nélson,Cabral Semedo,D,Right Full Back
21,2021-05-19,38,2896,John,Ruddy,G,Goalkeeper
22,2021-05-19,23,14446,Joseph,Willock,M,Centre Attacking Midfielder
23,2021-05-19,23,12817,Allan,Saint-Maximin,F,Left/Right Winger
24,2021-05-19,23,20607,Joelinton Cássio,Apolinário de Lira,F,Centre Striker
25,2021-05-19,23,9662,Jacob,Murphy,M,Left/Right Winger
26,2021-05-19,23,4135,Jonjo,Shelvey,M,Centre Central Midfielder
27,2021-05-19,23,66494,Emil,Krafth,D,Right Full Back
28,2021-05-19,23,54312,Miguel,Almirón,M,Left/Centre/Right Second Striker
29,2021-05-19,23,4340,Paul,Dummett,D,Left Full Back
30,2021-05-19,23,6451,Martin,Dúbravka,G,Goalkeeper
31,2021-05-19,23,3934,Matt,Ritchie,M,Left/Right Winger
32,2021-05-19,23,5672,Federico,Fernández,D,Centre Central Defender
33,2021-05-19,18,3902,Jack,Robinson,D,Left Full Back
34,2021-05-19,18,9266,Ben,Osborn,M,Centre Central Midfielder
35,2021-05-19,18,3924,Oliver,Norwood,M,Centre Central Midfielder
36,2021-05-19,18,4258,Enda,Stevens,D,Left Full Back
37,2021-05-19,18,4394,John,Egan,D,Centre Central Defender
38,2021-05-19,18,8444,John,Fleck,M,Centre Central Midfielder
39,2021-05-19,18,13703,Aaron,Ramsdale,G,Goalkeeper
40,2021-05-19,18,3581,Chris,Basham,D,Centre Central Defender
41,2021-05-19,18,2340,David,McGoldrick,F,Striker
42,2021-05-19,18,14608,Jayden,Bogle,D,Right Wing Back
43,2021-05-19,18,111987,Daniel,Jebbison,F,Centre Striker
44,2021-05-19,21,15116,Japhet,Tanganga,D,Defender
45,2021-05-19,21,39606,Sergio,Reguilón,D,Left Full Back
46,2021-05-19,21,12703,Steven,Bergwijn,F,Left/Right Winger
47,2021-05-19,21,7488,Harry,Winks,M,Centre Central Midfielder
48,2021-05-19,21,9167,Dele,Alli,M,Centre Attacking Midfielder
49,2021-05-19,21,4664,Hugo,Lloris,G,Goalkeeper
50,2021-05-19,21,4999,Heung-Min,Son,F,Left/Centre/Right Winger
51,2021-05-19,21,4916,Toby,Alderweireld,D,Centre/Right Central Defender
52,2021-05-19,21,3960,Harry,Kane,F,Centre Striker
53,2021-05-19,21,4112,Eric,Dier,M,Centre Defensive Midfielder
54,2021-05-19,21,5272,Pierre-Emile,Højbjerg,M,Centre Central Midfielder
55,2021-05-19,2,4260,Jack,Grealish,M,Left/Centre/Right Attacking Midfielder
56,2021-05-19,2,45351,Marvelous,Nakamba,M,Centre Central Midfielder
57,2021-05-19,2,10000,Kortney,Hause,D,Centre Central Defender
58,2021-05-19,2,4815,Matt,Targett,D,Left Full Back
59,2021-05-19,2,13274,Ezri,Konsa Ngoyo,D,Centre Central Defender
60,2021-05-19,2,10394,Bertrand,Traoré,F,Centre Striker
61,2021-05-19,2,4245,Emiliano,Martínez,G,Goalkeeper
62,2021-05-19,2,11033,Anwar,El Ghazi,M,Left/Right Winger
63,2021-05-19,2,8900,Tyrone,Mings,D,Centre Central Defender
64,2021-05-19,2,8658,Ollie,Watkins,F,Left/Centre/Right Second Striker
65,2021-05-19,2,51423,John,McGinn,M,Centre Central Midfielder
66,2021-05-19,6,8980,Jeffrey,Schlupp,M,Left Winger
67,2021-05-19,6,4492,Christian,Benteke,F,Centre Striker
68,2021-05-19,6,24334,Tyrick,Mitchell,D,Left Full Back
69,2021-05-19,6,3724,Andros,Townsend,M,Left/Right Winger
70,2021-05-19,6,3517,James,Tomkins,D,Centre Central Defender
71,2021-05-19,6,2620,Gary,Cahill,D,Centre Central Defender
72,2021-05-19,6,3929,Joel,Ward,D,Right Full Back
73,2021-05-19,6,3979,James,McCarthy,M,Centre Central Midfielder
74,2021-05-19,6,7548,Vicente,Guaita,G,Goalkeeper
75,2021-05-19,6,4539,Wilfried,Zaha,F,Left/Centre/Right Winger
76,2021-05-19,6,5861,Cheikhou,Kouyaté,M,Centre Central Midfielder
77,2021-05-19,1,12185,Kieran,Tierney,D,Left Full Back
78,2021-05-19,1,4936,Thomas,Partey,M,Centre Defensive Midfielder
79,2021-05-19,1,49481,Bukayo,Saka,M,Left Winger
80,2021-05-19,1,11575,Rob,Holding,D,Centre Central Defender
81,2021-05-19,1,50234,Gabriel,dos Santos Magalhães,D,Centre Central Defender
82,2021-05-19,1,5239,Mohamed Naser,El Sayed Elneny,M,Centre Defensive Midfielder
83,2021-05-19,1,14445,Emile,Smith Rowe,M,Midfielder
84,2021-05-19,1,5110,Pierre-Emerick,Aubameyang,F,Centre Striker
85,2021-05-19,1,4985,Bernd,Leno,G,Goalkeeper
86,2021-05-19,1,4620,Calum,Chambers,D,Centre/Right Central Defender
87,2021-05-19,1,50252,Nicolas,Pépé,F,Right Winger
88,2021-05-19,43,24797,Dwight,McNeil,M,Left/Centre Winger
89,2021-05-19,43,3756,Chris,Wood,F,Centre Striker
90,2021-05-19,43,9457,Josh,Brownhill,M,Centre Central Midfielder
91,2021-05-19,43,8691,Charlie,Taylor,D,Left Full Back
92,2021-05-19,43,2889,Jack,Cork,M,Centre Central Midfielder
93,2021-05-19,43,8143,James,Tarkowski,D,Centre Central Defender
94,2021-05-19,43,4489,Ashley,Westwood,M,Centre Central Midfielder
95,2021-05-19,43,4487,Matthew,Lowton,D,Right Full Back
96,2021-05-19,43,3909,Ben,Mee,D,Left/Centre Central Defender
97,2021-05-19,43,6210,Jóhann,Gudmundsson,M,Left Winger
98,2021-05-19,43,8293,Will,Norris,G,Goalkeeper
99,2021-05-19,10,10458,Andrew,Robertson,D,Left Full Back
