id,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
0,2017-05-21,1,10423,Gabriel Armando,de Abreu,D,Centre Central Defender
1,2017-05-21,1,2651,Petr,Cech,G,Goalkeeper
2,2017-05-21,1,4472,Ignacio,Monreal,D,Left Full Back
3,2017-05-21,1,3452,Danny,Welbeck,F,Left/Centre/Right Second Striker
4,2017-05-21,1,4474,Héctor,Bellerín,D,Right Full Back
5,2017-05-21,1,4973,Alexis,Sánchez,F,Left/Right Second Striker
6,2017-05-21,1,4030,Laurent,Koscielny,D,Centre Central Defender
7,2017-05-21,1,3548,Aaron,Ramsey,M,Centre Central Midfielder
8,2017-05-21,1,12136,Granit,Xhaka,M,Centre Central Midfielder
9,2017-05-21,1,4714,Mesut,Özil,M,Centre/Right Attacking Midfielder
10,2017-05-21,1,11575,Rob,Holding,D,Centre Central Defender
11,2017-05-21,7,4290,Romelu,Lukaku,F,Centre Striker
12,2017-05-21,7,3222,Phil,Jagielka,D,Centre Central Defender
13,2017-05-21,7,3030,Leighton,Baines,D,Left Full Back
14,2017-05-21,7,4696,Joel,Robles,G,Goalkeeper
15,2017-05-21,7,4615,Morgan,Schneiderlin,M,Centre Defensive Midfielder
16,2017-05-21,7,13389,Tom,Davies,M,Centre Central Midfielder
17,2017-05-21,7,12582,Idrissa,Gueye,M,Centre Defensive Midfielder
18,2017-05-21,7,10541,Enner,Valencia,F,Centre Striker
19,2017-05-21,7,4403,Ashley,Williams,D,Centre Central Defender
20,2017-05-21,7,10564,Mason,Holgate,D,Centre Central Defender
21,2017-05-21,7,4507,Kevin,Mirallas,M,Left/Right Winger
22,2017-05-21,43,3999,Stephen,Ward,D,Left Full Back
23,2017-05-21,43,4489,Ashley,Westwood,M,Centre Central Midfielder
24,2017-05-21,43,8143,James,Tarkowski,D,Centre Central Defender
25,2017-05-21,43,3837,Kevin,Long,D,Centre Central Defender
26,2017-05-21,43,4487,Matthew,Lowton,D,Right Full Back
27,2017-05-21,43,4158,Robbie,Brady,M,Left Winger
28,2017-05-21,43,2933,Tom,Heaton,G,Goalkeeper
29,2017-05-21,43,8242,Scott,Arfield,M,Left/Centre/Right Attacking Midfielder
30,2017-05-21,43,8586,Jeff,Hendrick,M,Centre Central Midfielder
31,2017-05-21,43,9060,Andre,Gray,F,Centre Striker
32,2017-05-21,43,4007,Sam,Vokes,F,Centre Striker
33,2017-05-21,25,4852,Adrián,San Miguel del Castillo,G,Goalkeeper
34,2017-05-21,25,13872,Manuel,Lanzini,M,Left/Centre/Right Attacking Midfielder
35,2017-05-21,25,4558,Robert,Snodgrass,M,Left/Right Attacking Midfielder
36,2017-05-21,25,7564,Sofiane,Feghouli,M,Right Winger
37,2017-05-21,25,8897,Aaron,Cresswell,D,Left Full Back
38,2017-05-21,25,3010,James,Collins,D,Centre Central Defender
39,2017-05-21,25,5514,Angelo,Ogbonna,D,Left/Centre Central Defender
40,2017-05-21,25,4606,José Miguel,da Rocha Fonte,D,Centre Central Defender
41,2017-05-21,25,8945,Sam,Byram,D,Right Full Back
42,2017-05-21,25,5594,André,Ayew,F,Left/Centre/Right Second Striker
43,2017-05-21,25,15759,Edimilson,Fernandes,F,Forward
44,2017-05-21,4,2417,Cesc,Fàbregas,M,Centre Central Midfielder
45,2017-05-21,4,3983,Victor,Moses,D,Right Wing Back
46,2017-05-21,4,4941,Diego,Da Silva Costa,F,Centre Striker
47,2017-05-21,4,4496,César,Azpilicueta,D,Left/Right Full Back
48,2017-05-21,4,4911,Thibaut,Courtois,G,Goalkeeper
49,2017-05-21,4,13492,N'Golo,Kanté,M,Centre Central Midfielder
50,2017-05-21,4,4503,Eden,Hazard,F,Left/Centre/Right Second Striker
51,2017-05-21,4,4100,David,Luiz Moreira Marinho,D,Centre Central Defender
