id,date,Team,PlayerID,name,age,OVA,POT,BOV,BP,GROWTH,ATTACHING,CROSSING,FINISHING,HEADING_ACCURACY,SHORT_PASSING,Volleys,TotalSkill,Dribbing,Curve,FkAccuracy,LONG_PASSING,BallControl,TotalMovement,Acceleration,SprintSpeed,Agility,Reactions,Balance,TotalPower,ShotPower,Jumping,Stamina,Strength,LongShots,TotalMentary,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,DEFENDING,Marking,StandingStackle,SlidingTackle,GOALKEEPING,GKDriving,GKHandling,GKKicking,GKPositioning,GKReflexes,TotalStats,BaseStats,AttackingWorkRate,DefensiveWorkRate,Pac,SHO,Pas,Dri,DEF,PHY,firstName,lastName
0,2016-10-13,Man Utd,193080, De Gea,25,90,92,87,GK,2,95,17,13,21,31,13,116,13,21,19,32,31,300,56,56,57,88,43,199,31,67,25,64,12,188,38,30,12,68,40,40,60,13,21,13,435,88,85,87,85,90,1380,491,Medium,Medium,88,85,87,90,56,85,De,Gea
1,2016-10-13,Man Utd,41236, Z. Ibrahimović,34,90,90,86,ST,0,419,76,90,76,84,93,413,87,80,80,76,90,355,69,74,86,85,41,421,93,72,75,93,88,364,84,20,86,83,91,91,91,15,41,27,59,13,15,10,9,12,2114,445,Medium,Low,72,90,81,85,31,86,Z.,Ibrahimović
2,2016-10-13,Arsenal,176635, M. Özil,27,89,90,86,CAM,1,375,80,75,54,89,77,423,86,84,79,84,90,386,77,68,84,87,70,322,70,52,68,56,76,322,54,24,84,93,67,67,73,22,16,19,50,6,14,10,6,14,1935,401,Medium,Low,72,74,87,86,24,58,M.,Özil
3,2016-10-13,Chelsea,192119, T. Courtois,24,89,93,86,GK,4,85,14,14,13,32,12,97,13,19,11,31,23,285,46,52,61,81,45,229,36,68,38,70,17,122,23,15,13,44,27,27,52,11,18,16,419,84,91,69,86,89,1282,468,Medium,Medium,84,91,69,89,49,86,T.,Courtois
4,2016-10-13,Man City,153079, S. Agüero,28,89,89,87,CF,0,392,70,90,68,79,85,395,89,82,72,63,89,442,92,86,86,88,90,398,87,80,74,73,84,338,57,24,91,83,83,83,90,13,20,12,59,13,15,6,11,14,2069,434,High,Medium,89,88,75,89,23,70,S.,Agüero
5,2016-10-13,Arsenal,48940, P. Čech,34,88,88,85,GK,0,102,19,12,19,35,17,99,12,13,19,33,22,266,45,52,49,86,34,180,21,51,32,65,11,93,17,23,13,17,23,23,70,11,13,12,420,83,90,77,85,85,1196,469,Medium,Medium,83,90,77,85,49,85,P.,Čech
6,2016-10-13,Chelsea,183277, E. Hazard,25,88,90,87,CAM,2,378,80,80,57,82,79,422,93,82,79,78,90,447,93,87,92,85,90,357,79,59,74,63,82,351,54,41,84,86,86,86,86,25,27,22,45,11,12,6,8,8,2074,440,High,Medium,90,81,82,91,32,64,E.,Hazard
7,2016-10-13,Man City,192985, K. De Bruyne,25,88,91,85,CAM,3,395,90,82,53,88,82,408,85,78,77,82,86,394,76,78,78,87,75,392,84,65,85,73,85,368,68,52,83,88,77,77,82,30,39,40,56,15,13,5,10,13,2122,445,High,Medium,77,83,86,84,40,75,K.,De Bruyne
8,2016-10-13,Man Utd,195864, P. Pogba,23,88,94,85,CM,6,391,78,71,72,86,84,425,89,82,82,82,90,380,75,79,79,86,61,447,90,85,91,91,90,388,72,70,84,86,76,76,82,68,74,78,20,5,6,2,4,3,2271,486,High,Medium,77,80,83,87,72,87,P.,Pogba
9,2016-10-13,Spurs,167948, H. Lloris,29,88,88,85,GK,0,71,13,10,10,27,11,96,10,11,10,31,34,321,65,63,55,84,54,195,23,74,41,43,14,138,31,27,10,30,40,40,64,12,10,18,414,87,87,68,82,90,1275,478,Medium,Medium,87,87,68,90,64,82,H.,Lloris
10,2016-10-13,Arsenal,184941, A. Sánchez,27,87,87,85,LW,0,386,80,83,65,80,78,404,89,78,78,73,86,433,88,84,90,84,87,398,82,85,85,66,80,366,80,42,85,82,77,77,82,30,39,35,60,10,10,15,12,13,2151,449,High,High,86,82,79,88,39,75,A.,Sánchez
11,2016-10-13,Man City,168542, David Silva,30,87,87,84,CAM,0,380,85,70,54,91,80,413,85,83,77,78,90,401,72,65,92,84,88,335,71,66,68,56,74,342,51,41,81,92,77,77,92,23,30,29,5,1,1,1,1,1,1958,405,High,Low,68,72,87,87,32,59,David,Silva
12,2016-10-13,Arsenal,146562, Santi Cazorla,31,86,86,84,CAM,0,378,85,77,58,86,72,421,86,86,78,84,87,404,77,66,85,85,91,363,78,71,72,60,82,366,64,55,82,85,80,80,88,56,62,48,42,6,9,5,7,15,2140,441,Medium,Medium,71,78,85,86,57,64,Santi,Cazorla
13,2016-10-13,Chelsea,162895, Cesc Fàbregas,29,86,86,83,CAM,0,409,86,76,74,92,81,416,80,77,81,91,87,352,65,62,65,83,77,364,77,68,80,64,75,346,45,50,80,91,80,80,92,62,63,62,54,6,10,8,15,15,2128,435,High,Medium,63,77,89,81,61,64,Cesc,Fàbregas
14,2016-10-13,Man City,139720, V. Kompany,30,86,86,83,CB,0,301,61,45,84,65,46,311,64,61,52,66,68,323,68,69,60,84,42,360,76,73,68,88,55,322,81,78,41,59,63,63,85,86,90,87,38,10,9,5,8,6,1918,417,Medium,Medium,69,54,62,65,86,81,V.,Kompany
15,2016-10-13,West Ham,177388, D. Payet,29,86,86,84,CAM,0,388,87,76,59,87,79,444,88,90,91,85,90,388,79,75,78,76,80,359,78,48,74,76,83,343,57,42,80,88,76,76,86,29,48,45,61,11,15,9,14,12,2105,441,High,Medium,77,78,87,87,42,70,D.,Payet
16,2016-10-13,Arsenal,165229, L. Koscielny,30,85,85,83,CB,0,280,54,32,84,75,35,267,62,22,49,67,67,367,79,78,70,78,62,335,54,86,73,75,47,313,90,85,31,56,51,51,77,83,87,85,51,13,11,9,11,7,1868,408,Medium,High,78,40,62,65,85,78,L.,Koscielny
17,2016-10-13,Chelsea,180403, Willian,27,85,85,83,RM,0,320,75,75,29,82,59,415,87,80,85,77,86,428,92,86,87,81,82,344,71,46,86,61,80,320,44,55,78,83,60,60,74,43,62,51,59,14,12,13,7,13,2042,443,High,High,89,74,80,86,51,63,Willian,Willian
18,2016-10-13,Chelsea,179844, Diego Costa,27,85,85,82,ST,0,379,63,88,82,65,81,326,79,58,59,48,82,343,73,76,58,84,52,388,83,60,85,91,69,371,93,40,88,74,76,76,84,28,39,34,55,11,13,12,8,11,1963,425,High,Medium,75,82,63,77,40,88,Diego,Costa
19,2016-10-13,Liverpool,189242, Coutinho,24,85,89,83,CAM,4,351,74,70,47,85,75,416,87,84,79,78,88,423,89,77,91,75,91,351,79,59,73,56,84,292,35,30,76,87,64,64,79,24,38,35,48,12,7,9,14,6,1978,415,High,Medium,82,75,82,87,33,56,Coutinho,Coutinho
20,2016-10-13,Man City,174543, C. Bravo,33,85,85,83,GK,0,86,12,13,18,32,11,144,13,25,60,31,15,320,58,54,64,80,64,238,22,81,44,70,21,172,40,23,15,71,23,23,60,11,18,19,418,83,85,87,78,85,1426,474,Medium,Medium,83,85,87,85,56,78,C.,Bravo
21,2016-10-13,Man City,192366, N. Otamendi,28,85,85,83,CB,0,311,52,53,86,64,56,256,41,50,39,66,60,355,68,75,71,79,62,375,69,90,78,82,56,309,85,86,49,45,44,44,76,83,86,86,48,12,5,8,11,12,1909,404,Medium,Medium,72,56,56,53,85,82,N.,Otamendi
22,2016-10-13,Man City,186942, I. Gündoğan,25,85,87,84,CAM,2,355,74,67,49,90,75,413,87,81,74,83,88,406,77,74,85,87,83,360,77,62,73,74,74,387,68,79,77,87,76,76,86,57,64,64,48,11,14,5,5,13,2154,453,High,Medium,75,72,84,87,63,72,I.,Gündoğan
23,2016-10-13,Man Utd,192883, H. Mkhitaryan,27,85,85,84,CAM,0,372,80,73,53,85,81,395,86,83,64,73,89,420,84,82,88,83,83,382,87,72,85,63,75,377,69,68,83,85,72,72,67,49,53,55,42,5,11,14,5,7,2145,453,High,High,83,77,81,87,55,70,H.,Mkhitaryan
24,2016-10-13,Spurs,184087, T. Alderweireld,27,85,86,83,CB,1,306,64,45,82,77,38,344,61,63,69,81,70,325,63,69,60,84,49,390,86,82,75,81,66,341,79,86,56,60,60,60,80,85,88,83,66,16,6,14,16,14,2028,424,Medium,Medium,66,58,71,64,86,79,T.,Alderweireld
25,2016-10-13,Leicester,204485, R. Mahrez,25,85,88,83,RM,3,359,83,80,45,80,71,401,89,78,70,76,88,412,86,79,92,75,80,342,76,59,76,57,74,312,39,38,81,83,71,71,82,25,27,21,54,15,9,13,11,6,1953,415,Medium,Medium,82,77,80,88,30,58,R.,Mahrez
26,2016-10-13,Crystal Palace,163705, S. Mandanda,31,85,85,83,GK,0,84,14,13,13,31,13,76,11,13,12,28,12,265,53,43,52,81,36,201,24,74,31,61,11,133,37,23,11,51,11,11,63,10,12,13,411,86,80,79,81,85,1205,459,Medium,Medium,86,80,79,85,48,81,S.,Mandanda
27,2016-10-13,Arsenal,199503, G. Xhaka,23,84,87,82,CM,3,314,68,49,62,85,50,377,70,68,70,89,80,305,48,54,55,86,62,361,88,33,79,76,85,388,89,76,78,86,59,59,73,71,75,69,46,7,8,11,7,13,2006,419,Medium,Medium,51,66,81,72,72,77,G.,Xhaka
28,2016-10-13,Arsenal,186561, A. Ramsey,25,84,87,82,CM,3,373,75,76,58,85,79,385,81,70,70,80,84,372,69,69,77,82,75,382,81,65,92,69,75,386,74,73,83,81,75,75,80,62,74,68,40,6,11,5,10,8,2142,451,High,High,69,77,80,81,68,76,A.,Ramsey
