id,season,matchId,matchDate,homeTeamId,homeTeamName,awayTeamID,awayTeamName,homeTeamScore,awayTeamScore
0,2018/19,38678,2019-05-12,131,Brighton,11,Man City,1,4
1,2018/19,38679,2019-05-12,43,Burnley,1,Arsenal,1,3
2,2018/19,38680,2019-05-12,6,Crystal Palace,127,AFC Bournemouth,5,3
3,2018/19,38681,2019-05-12,34,Fulham,23,Newcastle,0,4
4,2018/19,38682,2019-05-12,26,Leicester,4,Chelsea,0,0
5,2018/19,38683,2019-05-12,10,Liverpool,38,Wolves,2,0
6,2018/19,38684,2019-05-12,12,Man Utd,46,Cardiff,0,2
7,2018/19,38685,2019-05-12,20,Southampton,159,Huddersfield,1,1
8,2018/19,38686,2019-05-12,21,Spurs,7,Everton,2,2
9,2018/19,38687,2019-05-12,33,Watford,25,West Ham,1,4
10,2018/19,38674,2019-05-06,11,Man City,26,Leicester,1,0
11,2018/19,38671,2019-05-05,4,Chelsea,33,Watford,3,0
12,2018/19,38673,2019-05-05,159,Huddersfield,12,Man Utd,1,1
13,2018/19,38668,2019-05-05,1,Arsenal,131,Brighton,1,1
14,2018/19,38669,2019-05-04,127,AFC Bournemouth,21,Spurs,1,0
15,2018/19,38676,2019-05-04,25,West Ham,20,Southampton,3,0
16,2018/19,38677,2019-05-04,38,Wolves,34,Fulham,1,0
17,2018/19,38670,2019-05-04,46,Cardiff,6,Crystal Palace,2,3
18,2018/19,38675,2019-05-04,23,Newcastle,10,Liverpool,2,3
19,2018/19,38672,2019-05-03,7,Everton,43,Burnley,2,0
20,2018/19,38662,2019-04-28,26,Leicester,1,Arsenal,3,0
21,2018/19,38659,2019-04-28,43,Burnley,11,Man City,0,1
22,2018/19,38664,2019-04-28,12,Man Utd,4,Chelsea,1,1
23,2018/19,38666,2019-04-27,21,Spurs,25,West Ham,0,1
24,2018/19,38660,2019-04-27,6,Crystal Palace,7,Everton,0,0
25,2018/19,38661,2019-04-27,34,Fulham,46,Cardiff,1,0
26,2018/19,38665,2019-04-27,20,Southampton,127,AFC Bournemouth,3,3
27,2018/19,38667,2019-04-27,33,Watford,38,Wolves,1,2
28,2018/19,38658,2019-04-27,131,Brighton,23,Newcastle,1,1
29,2018/19,38663,2019-04-26,10,Liverpool,159,Huddersfield,5,0
30,2018/19,38617,2019-04-24,38,Wolves,1,Arsenal,3,1
31,2018/19,38613,2019-04-24,12,Man Utd,11,Man City,0,2
32,2018/19,38635,2019-04-23,21,Spurs,131,Brighton,1,0
33,2018/19,38615,2019-04-23,33,Watford,20,Southampton,1,1
34,2018/19,38651,2019-04-22,4,Chelsea,43,Burnley,2,2
35,2018/19,38652,2019-04-21,7,Everton,12,Man Utd,4,0
36,2018/19,38648,2019-04-21,1,Arsenal,6,Crystal Palace,2,3
37,2018/19,38650,2019-04-21,46,Cardiff,10,Liverpool,0,2
38,2018/19,38649,2019-04-20,127,AFC Bournemouth,34,Fulham,0,1
39,2018/19,38655,2019-04-20,23,Newcastle,20,Southampton,3,1
40,2018/19,38654,2019-04-20,11,Man City,21,Spurs,1,0
41,2018/19,38653,2019-04-20,159,Huddersfield,33,Watford,1,2
42,2018/19,38656,2019-04-20,25,West Ham,26,Leicester,2,2
43,2018/19,38657,2019-04-20,38,Wolves,131,Brighton,0,0
44,2018/19,38609,2019-04-16,131,Brighton,46,Cardiff,0,2
45,2018/19,38647,2019-04-15,33,Watford,1,Arsenal,0,1
46,2018/19,38640,2019-04-14,6,Crystal Palace,11,Man City,1,3
47,2018/19,38643,2019-04-14,10,Liverpool,4,Chelsea,2,0
48,2018/19,38646,2019-04-13,21,Spurs,159,Huddersfield,4,0
49,2018/19,38638,2019-04-13,131,Brighton,127,AFC Bournemouth,0,5
50,2018/19,38639,2019-04-13,43,Burnley,46,Cardiff,2,0
51,2018/19,38641,2019-04-13,34,Fulham,7,Everton,2,0
52,2018/19,38645,2019-04-13,20,Southampton,38,Wolves,3,1
53,2018/19,38644,2019-04-13,12,Man Utd,25,West Ham,2,1
54,2018/19,38642,2019-04-12,26,Leicester,23,Newcastle,0,1
55,2018/19,38629,2019-04-08,4,Chelsea,25,West Ham,2,0
56,2018/19,38630,2019-04-07,7,Everton,1,Arsenal,1,0
57,2018/19,38628,2019-04-06,127,AFC Bournemouth,43,Burnley,1,3
58,2018/19,38631,2019-04-06,159,Huddersfield,26,Leicester,1,4
59,2018/19,38633,2019-04-06,23,Newcastle,6,Crystal Palace,0,1
60,2018/19,38634,2019-04-05,20,Southampton,10,Liverpool,1,3
61,2018/19,38572,2019-04-03,4,Chelsea,131,Brighton,3,0
62,2018/19,38632,2019-04-03,11,Man City,46,Cardiff,2,0
63,2018/19,38614,2019-04-03,21,Spurs,6,Crystal Palace,2,0
64,2018/19,38636,2019-04-02,33,Watford,34,Fulham,4,1
65,2018/19,38637,2019-04-02,38,Wolves,12,Man Utd,2,1
66,2018/19,38618,2019-04-01,1,Arsenal,23,Newcastle,2,0
67,2018/19,38621,2019-03-31,46,Cardiff,4,Chelsea,1,2
68,2018/19,38625,2019-03-31,10,Liverpool,21,Spurs,2,1
69,2018/19,38623,2019-03-30,34,Fulham,11,Man City,0,2
70,2018/19,38619,2019-03-30,131,Brighton,20,Southampton,0,1
71,2018/19,38620,2019-03-30,43,Burnley,38,Wolves,2,0
72,2018/19,38622,2019-03-30,6,Crystal Palace,159,Huddersfield,2,0
73,2018/19,38624,2019-03-30,26,Leicester,127,AFC Bournemouth,2,0
74,2018/19,38626,2019-03-30,12,Man Utd,33,Watford,2,1
75,2018/19,38627,2019-03-30,25,West Ham,7,Everton,0,2
76,2018/19,38612,2019-03-17,34,Fulham,10,Liverpool,1,2
77,2018/19,38611,2019-03-17,7,Everton,4,Chelsea,2,0
78,2018/19,38608,2019-03-16,127,AFC Bournemouth,23,Newcastle,2,2
79,2018/19,38610,2019-03-16,43,Burnley,26,Leicester,1,2
80,2018/19,38616,2019-03-16,25,West Ham,159,Huddersfield,4,3
81,2018/19,38604,2019-03-10,10,Liverpool,43,Burnley,4,2
82,2018/19,38600,2019-03-10,4,Chelsea,38,Wolves,1,1
83,2018/19,38598,2019-03-10,1,Arsenal,12,Man Utd,2,0
84,2018/19,38601,2019-03-09,6,Crystal Palace,131,Brighton,1,2
85,2018/19,38599,2019-03-09,46,Cardiff,25,West Ham,2,0
86,2018/19,38602,2019-03-09,159,Huddersfield,127,AFC Bournemouth,0,2
87,2018/19,38603,2019-03-09,26,Leicester,34,Fulham,3,1
88,2018/19,38606,2019-03-09,23,Newcastle,7,Everton,3,2
89,2018/19,38607,2019-03-09,20,Southampton,21,Spurs,2,1
90,2018/19,38605,2019-03-09,11,Man City,33,Watford,3,1
91,2018/19,38595,2019-03-03,33,Watford,26,Leicester,2,1
92,2018/19,38592,2019-03-03,34,Fulham,4,Chelsea,1,2
93,2018/19,38591,2019-03-03,7,Everton,10,Liverpool,0,0
94,2018/19,38594,2019-03-02,21,Spurs,1,Arsenal,1,1
95,2018/19,38588,2019-03-02,127,AFC Bournemouth,11,Man City,0,1
