,season,matchId,matchDate,homeTeamId,homeTeamName,awayTeamID,awayTeamName,homeTeamScore,awayTeamScore
0,2020/21,59260,2021-05-19,7,Everton,38,Wolves,1,0
1,2020/21,59262,2021-05-19,23,Newcastle,18,Sheffield Utd,1,0
2,2020/21,59264,2021-05-19,21,Spurs,2,Aston Villa,1,2
3,2020/21,59259,2021-05-19,6,Crystal Palace,1,Arsenal,1,3
4,2020/21,59257,2021-05-19,43,Burnley,10,Liverpool,0,3
5,2020/21,59265,2021-05-19,36,West Brom,25,West Ham,1,3
6,2020/21,59261,2021-05-18,12,Man Utd,34,Fulham,1,1
7,2020/21,59263,2021-05-18,20,Southampton,9,Leeds,0,2
8,2020/21,59256,2021-05-18,131,Brighton,11,Man City,3,2
9,2020/21,59258,2021-05-18,4,Chelsea,26,Leicester,2,1
10,2020/21,59252,2021-05-16,6,Crystal Palace,2,Aston Villa,3,2
11,2020/21,59255,2021-05-16,21,Spurs,38,Wolves,2,0
12,2020/21,59250,2021-05-16,36,West Brom,10,Liverpool,1,2
13,2020/21,59248,2021-05-16,7,Everton,18,Sheffield Utd,0,1
14,2020/21,59247,2021-05-15,43,Burnley,9,Leeds,0,4
15,2020/21,59254,2021-05-15,20,Southampton,34,Fulham,3,1
16,2020/21,59246,2021-05-15,131,Brighton,25,West Ham,1,1
17,2020/21,59253,2021-05-14,23,Newcastle,11,Man City,3,4
18,2020/21,59077,2021-05-13,2,Aston Villa,7,Everton,0,0
19,2020/21,59231,2021-05-13,12,Man Utd,10,Liverpool,2,4
20,2020/21,59251,2021-05-12,4,Chelsea,1,Arsenal,0,1
21,2020/21,59249,2021-05-11,12,Man Utd,26,Leicester,1,2
22,2020/21,59214,2021-05-11,20,Southampton,6,Crystal Palace,3,1
23,2020/21,59238,2021-05-10,34,Fulham,43,Burnley,0,2
24,2020/21,59245,2021-05-09,38,Wolves,131,Brighton,2,1
25,2020/21,59237,2021-05-09,2,Aston Villa,12,Man Utd,1,3
26,2020/21,59244,2021-05-09,25,West Ham,7,Everton,0,1
27,2020/21,59236,2021-05-09,1,Arsenal,36,West Brom,3,1
28,2020/21,59239,2021-05-08,9,Leeds,21,Spurs,3,1
29,2020/21,59243,2021-05-08,18,Sheffield Utd,6,Crystal Palace,0,2
30,2020/21,59242,2021-05-08,11,Man City,4,Chelsea,1,2
31,2020/21,59241,2021-05-08,10,Liverpool,20,Southampton,2,0
32,2020/21,59240,2021-05-07,26,Leicester,23,Newcastle,2,4
33,2020/21,59235,2021-05-03,36,West Brom,38,Wolves,1,1
34,2020/21,59227,2021-05-03,43,Burnley,25,West Ham,1,2
35,2020/21,59232,2021-05-02,23,Newcastle,1,Arsenal,0,2
36,2020/21,59234,2021-05-02,21,Spurs,18,Sheffield Utd,4,0
37,2020/21,59226,2021-05-01,131,Brighton,9,Leeds,2,0
38,2020/21,59228,2021-05-01,4,Chelsea,34,Fulham,2,0
39,2020/21,59230,2021-05-01,7,Everton,2,Aston Villa,1,2
40,2020/21,59229,2021-05-01,6,Crystal Palace,11,Man City,0,2
41,2020/21,59233,2021-04-30,20,Southampton,26,Leicester,1,1
42,2020/21,59220,2021-04-26,26,Leicester,6,Crystal Palace,2,1
43,2020/21,59225,2021-04-25,38,Wolves,43,Burnley,0,4
44,2020/21,59219,2021-04-25,9,Leeds,12,Man Utd,0,0
45,2020/21,59217,2021-04-25,2,Aston Villa,36,West Brom,2,2
46,2020/21,59221,2021-04-24,10,Liverpool,23,Newcastle,1,1
47,2020/21,59224,2021-04-24,25,West Ham,4,Chelsea,0,1
48,2020/21,59223,2021-04-24,18,Sheffield Utd,131,Brighton,1,0
49,2020/21,59216,2021-04-23,1,Arsenal,7,Everton,0,1
50,2020/21,59211,2021-04-22,26,Leicester,36,West Brom,3,0
51,2020/21,59183,2021-04-21,21,Spurs,20,Southampton,2,1
52,2020/21,59207,2021-04-21,2,Aston Villa,11,Man City,1,2
53,2020/21,59208,2021-04-20,4,Chelsea,131,Brighton,0,0
54,2020/21,59210,2021-04-19,9,Leeds,10,Liverpool,1,1
55,2020/21,59206,2021-04-18,1,Arsenal,34,Fulham,1,1
56,2020/21,59212,2021-04-18,12,Man Utd,43,Burnley,3,1
57,2020/21,59213,2021-04-17,23,Newcastle,25,West Ham,3,2
58,2020/21,59215,2021-04-17,38,Wolves,18,Sheffield Utd,1,0
59,2020/21,59209,2021-04-16,7,Everton,21,Spurs,2,2
60,2020/21,59204,2021-04-12,36,West Brom,20,Southampton,3,0
61,2020/21,59196,2021-04-12,131,Brighton,7,Everton,0,0
